Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Central carbon metabolism in cancer	5/70	1.128609e-10	1.487712e-09	0	0	3.065385e+02	7.021222e+03	MYC;AKT1;TP53;EGFR;MTOR
KEGG_2021_Human	Pancreatic cancer	5/76	1.720641e-10	2.079108e-09	0	0	2.805493e+02	6.307633e+03	STAT3;AKT1;TP53;EGFR;MTOR
KEGG_2021_Human	ErbB signaling pathway	5/85	3.049242e-10	3.401077e-09	0	0	2.488750e+02	5.453090e+03	JUN;MYC;AKT1;EGFR;MTOR
KEGG_2021_Human	PD-L1 expression and PD-1 checkpoint pathway in cancer	5/89	3.855360e-10	3.993052e-09	0	0	2.369762e+02	5.136787e+03	JUN;STAT3;AKT1;EGFR;MTOR
KEGG_2021_Human	Chemical carcinogenesis	6/239	5.517654e-10	5.333732e-09	0	0	1.271910e+02	2.711445e+03	JUN;MYC;STAT3;AKT1;EGFR;MTOR
KEGG_2021_Human	Prostate cancer	5/97	5.975999e-10	5.415749e-09	0	0	2.162826e+02	4.593432e+03	CTNNB1;AKT1;TP53;EGFR;MTOR
KEGG_2021_Human	Thyroid hormone signaling pathway	5/121	1.834187e-09	1.564453e-08	0	0	1.713276e+02	3.446540e+03	MYC;CTNNB1;AKT1;TP53;MTOR
KEGG_2021_Human	MicroRNAs in cancer	6/310	2.633503e-09	2.121433e-08	0	0	9.713487e+01	1.918895e+03	MYC;STAT3;BRCA1;TP53;EGFR;MTOR
KEGG_2021_Human	PI3K-Akt signaling pathway	6/354	5.830560e-09	4.449638e-08	0	0	8.466379e+01	1.605238e+03	MYC;AKT1;BRCA1;TP53;EGFR;MTOR
KEGG_2021_Human	Cellular senescence	5/156	6.609993e-09	4.792245e-08	0	0	1.313841e+02	2.474578e+03	MYC;CDK1;AKT1;TP53;MTOR
KEGG_2021_Human	Hepatitis B	5/162	7.992071e-09	5.267502e-08	0	0	1.263248e+02	2.355303e+03	JUN;MYC;STAT3;AKT1;TP53
KEGG_2021_Human	JAK-STAT signaling pathway	5/162	7.992071e-09	5.267502e-08	0	0	1.263248e+02	2.355303e+03	MYC;STAT3;AKT1;EGFR;MTOR
KEGG_2021_Human	Acute myeloid leukemia	4/67	2.378497e-08	1.461372e-07	0	0	2.108677e+02	3.701617e+03	MYC;STAT3;AKT1;MTOR
KEGG_2021_Human	Epstein-Barr virus infection	5/202	2.418823e-08	1.461372e-07	0	0	1.004721e+02	1.762019e+03	JUN;MYC;STAT3;AKT1;TP53
KEGG_2021_Human	Non-small cell lung cancer	4/72	3.188660e-08	1.849423e-07	0	0	1.953137e+02	3.371326e+03	STAT3;AKT1;TP53;EGFR
KEGG_2021_Human	Glioma	4/75	3.764491e-08	2.099428e-07	0	0	1.870329e+02	3.197340e+03	AKT1;TP53;EGFR;MTOR
KEGG_2021_Human	Shigellosis	5/246	6.477586e-08	3.478704e-07	0	0	8.194606e+01	1.356398e+03	JUN;AKT1;TP53;EGFR;MTOR
KEGG_2021_Human	Choline metabolism in cancer	4/98	1.112637e-07	5.761872e-07	0	0	1.411064e+02	2.259305e+03	JUN;AKT1;EGFR;MTOR
KEGG_2021_Human	MAPK signaling pathway	5/294	1.574012e-07	7.870059e-07	0	0	6.816955e+01	1.067840e+03	JUN;MYC;AKT1;TP53;EGFR
KEGG_2021_Human	HIF-1 signaling pathway	4/109	1.709044e-07	8.260378e-07	0	0	1.262540e+02	1.967310e+03	STAT3;AKT1;EGFR;MTOR
KEGG_2021_Human	Human papillomavirus infection	5/331	2.835928e-07	1.326482e-06	0	0	6.031902e+01	9.093530e+02	CTNNB1;AKT1;TP53;EGFR;MTOR
KEGG_2021_Human	Fluid shear stress and atherosclerosis	4/139	4.541851e-07	1.995662e-06	0	0	9.804938e+01	1.431988e+03	JUN;CTNNB1;AKT1;TP53
KEGG_2021_Human	Measles	4/139	4.541851e-07	1.995662e-06	0	0	9.804938e+01	1.431988e+03	JUN;STAT3;AKT1;TP53
KEGG_2021_Human	Signaling pathways regulating pluripotency of stem cells	4/143	5.089005e-07	2.170311e-06	0	0	9.520863e+01	1.379670e+03	MYC;STAT3;CTNNB1;AKT1
KEGG_2021_Human	Thyroid cancer	3/37	6.931198e-07	2.871496e-06	0	0	2.515462e+02	3.567444e+03	MYC;CTNNB1;TP53
KEGG_2021_Human	Wnt signaling pathway	4/166	9.244402e-07	3.722683e-06	0	0	8.159671e+01	1.133711e+03	JUN;MYC;CTNNB1;TP53
KEGG_2021_Human	Bladder cancer	3/41	9.499260e-07	3.722683e-06	0	0	2.250226e+02	3.120361e+03	MYC;TP53;EGFR
KEGG_2021_Human	Focal adhesion	4/201	1.983051e-06	7.566906e-06	0	0	6.698139e+01	8.795242e+02	JUN;CTNNB1;AKT1;EGFR
KEGG_2021_Human	Viral carcinogenesis	4/203	2.062783e-06	7.669320e-06	0	0	6.630151e+01	8.679832e+02	JUN;STAT3;CDK1;TP53
KEGG_2021_Human	Human immunodeficiency virus 1 infection	4/212	2.451435e-06	8.886452e-06	0	0	6.340385e+01	8.191040e+02	JUN;CDK1;AKT1;MTOR
KEGG_2021_Human	Lipid and atherosclerosis	4/215	2.592326e-06	9.167982e-06	0	0	6.249289e+01	8.038432e+02	JUN;STAT3;AKT1;TP53
KEGG_2021_Human	Human T-cell leukemia virus 1 infection	4/219	2.789437e-06	9.630198e-06	0	0	6.131783e+01	7.842349e+02	JUN;MYC;AKT1;TP53
KEGG_2021_Human	Adipocytokine signaling pathway	3/69	4.634747e-06	1.530216e-05	0	0	1.293766e+02	1.588995e+03	STAT3;AKT1;MTOR
KEGG_2021_Human	Salmonella infection	4/249	4.643414e-06	1.530216e-05	0	0	5.372789e+01	6.597818e+02	JUN;MYC;CTNNB1;AKT1
KEGG_2021_Human	Melanoma	3/72	5.271571e-06	1.698617e-05	0	0	1.237329e+02	1.503749e+03	AKT1;TP53;EGFR
KEGG_2021_Human	Chronic myeloid leukemia	3/76	6.207286e-06	1.956644e-05	0	0	1.169295e+02	1.401960e+03	MYC;AKT1;TP53
KEGG_2021_Human	Small cell lung cancer	3/92	1.104185e-05	3.406528e-05	0	0	9.583146e+01	1.093803e+03	MYC;AKT1;TP53
KEGG_2021_Human	AGE-RAGE signaling pathway in diabetic complications	3/100	1.418791e-05	4.285930e-05	0	0	8.789249e+01	9.811545e+02	JUN;STAT3;AKT1
KEGG_2021_Human	Longevity regulating pathway	3/102	1.505741e-05	4.455765e-05	0	0	8.610823e+01	9.561148e+02	AKT1;TP53;MTOR
